Connecting to MQTT broker at solar.lluki.me:1884 as admin...
Connected to MQTT broker
Subscribed to all topics (#)
Topic: shellypro1-f8b3b7fa08bc/online | Message: true
Topic: shellypro1-f8b3b7fa08bc/rpc | Message: {"id":1,"method":"Switch.Set","params":{"id":0,"on":true},"src":"lmha3"}
Topic: lmha3/rpc | Message: {"id":1,"src":"shellypro1-f8b3b7fa08bc","dst":"lmha3","result":{"was_on":false}}
Topic: shellypro1-f8b3b7fa08bc/status/switch:0 | Message: {"id":0, "source":"MQTT", "output":true,"temperature":{"tC":32.4, "tF":90.3}}
Topic: shellypro1-f8b3b7fa08bc/events/rpc | Message: {"src":"shellypro1-f8b3b7fa08bc","dst":"shellypro1-f8b3b7fa08bc/events","method":"NotifyStatus","params":{"ts":1779622360.09,"switch:0":{"id":0,"output":true,"source":"MQTT"}}}
Topic: shellypro1-f8b3b7fa08bc/events/rpc | Message: {"src":"shellypro1-f8b3b7fa08bc","dst":"shellypro1-f8b3b7fa08bc/events","method":"NotifyStatus","params":{"ts":1779622362.72,"switch:0":{"id":0,"output":false,"source":"WS_in"}}}
Topic: shellypro1-f8b3b7fa08bc/status/switch:0 | Message: {"id":0, "source":"WS_in", "output":false,"temperature":{"tC":32.1, "tF":89.7}}
Topic: shellypro1-f8b3b7fa08bc/rpc | Message: {"id":1,"method":"Switch.Set","params":{"id":0,"on":true},"src":"lmha3"}
Topic: lmha3/rpc | Message: {"id":1,"src":"shellypro1-f8b3b7fa08bc","dst":"lmha3","result":{"was_on":false}}
Topic: shellypro1-f8b3b7fa08bc/status/switch:0 | Message: {"id":0, "source":"MQTT", "output":true,"temperature":{"tC":32.1, "tF":89.8}}
Topic: shellypro1-f8b3b7fa08bc/events/rpc | Message: {"src":"shellypro1-f8b3b7fa08bc","dst":"shellypro1-f8b3b7fa08bc/events","method":"NotifyStatus","params":{"ts":1779622364.71,"switch:0":{"id":0,"output":true,"source":"MQTT"}}}

Disconnecting...
